details,filename_new
cargiver saginaw mi   saginaw mi flint mi ohio      cargiver shield comfort care saginaw mi  present caregiver primary homecare saginaw mi  present responsibility require caregiver atc healthcare   customer service gillis fun center saginaw mi   responsibility interact directly customer provide process information response inquiry concern request product service sell upselling service require maintenance   strong interpersonal communication  adaptability listen kill microsoft office child care mama lou care    arthur hill high school  strong interpersonal communication  adaptability listen  microsoft office additional information volunteer  gift non profit organization neighborhood house soup kitchen,Resume Cargiver_33090
ameshia dix hurtsboro al   substitute teacher kelly service  present certification dental assistant  present,Resume AmeshiaDix_46387
deana verdugo white oak      server buffalo wild wing server applebee childcare provider tiny tot care seasonal cashier walmart alamogordo nm    n nmsu alamogordo  customer service year pos year certification alchohol game ,Resume DeAnaVerdugo_26400
bilingual advocate bilingual advocate sterling co obtain employment able excel give opportunity gain knowledge able grow potential help people able use bilingual  need   bilingual advocate help abuse partner sterling co  present present duty consist go training advocate duty talk client biggest listener advocacy direct agency contact help contact help need go court client make appointment counsel individual buy grocery client confidentiality pertain client weekly woman group travel presentation school chamber commerce organization office  file fill form answer phone take message make appointment report excel data entry keep daily log scan fax copy attending meeting mary kay consultant mary kay inc sterling co  present independent beauty consultant present continue  time build customer base order manage money schedule appointment care customer need want  people make feel special unique administrative assistant csr license rep farmer insurance company sterling co    duty consist answer phone quote price insurance keep calendar update schedule appointment answer billing question scan material deposit cash drawer take payment customer service learn sell insurance take care office study test license representative  reason leave  want different  pay originally tell receive pass test license administrative assistant northeast plain healthcare llc sterling co   aug duty  consist answer phone data entry patient chart pay office bill help payroll filing keep chart organize easy access nurse manage office keep communication open reason leave  spend time husband come tour iraq qc sale trainer safe auto insurance company sterling co   responsibility train csr train sale sell auto policy different people different sale spanish communication  write report documentation monitor phone call write evaluation resolve question accomplishment receive award sale floor promote quality control sale trainer  teach employee  sell insurance making presentation teach excel  able travel company s sale communication  teach  different personality help reach potential sharing office space csr trainer learn dental assistant dr matthew janda dds sterling co   aug dr matthew janda dds dental assistant nov  training doctor show wanted thing care patient assist doctor dental procedure schedule take money clean exam room technical mastery x ray equipment computer data entry identify problem patient doctor come room set procedure report assessment doctor maintain goodwill doctor patient reason leave want explore different new challenge podiatrist assistant office help foot ankle center sterling co responsibility aug organize chart equipment seat patient room assessment patient stock room order supply care patient  different doctor learn require  technical mastery x ray foot data entry schedule appointment take payment reason leave  want learn dentistry practice sell podiatrist assistant dr bruce wiseman assist doctor podiatric procedure surgery prepping patient bilingual need order organize supply schedule appointment customer relation technical x ray mastery data entry doctor train dr wiseman sell practice foot ankle center greeley take remain ing doctor prior child school odd  able child school  consist fry cook year  week sale barn sell cattle house clean client school hour  pizza place donut shop drug store  dentistry podiatry counsel sale sterling high school sterling co  inventory x ray data entry excel windows group iog member present currently serve committee consist different group community interagency oversight group learn group help latino kid learn college opportunity offer latino  achievement recruitment net group disband back college baby bear hug advisory committee  present ask join advisory committee baby bear hug,Resume BilingualAdvocate_47487
valerie jenkins assistant build ground supervisor la vegas nv perform administrative supervisory manual task assure proper operation maintenance ground facility electrical mechanical wide variety equipment accordance local state national building code coordinate custodial maintenance service activity answer emergency call require available help repair breakdowns facility   hand packer unilever la vegas nv   responsibility hand pack ice cream material handler run fruit feeder cashier customer service food market atlanta ga   responsibility cashier customer service runner assist carry accomplishment learn good customer service   register  sanitation  good customer service  assistant build ground supervisor east lake management chicago il   responsibility include correct deficiency occupy unoccupied unit correct dangerous hazardous condition sit city chicago forward maintenance related report property manager maintenance superintendent recommend procedural change method target rectify deficiency assign janitorial staff daily routine emergency assure property housing complex secure safe condition plan develop implement new method procedure design improve operation minimize operating cost effect greater utilization labor material review new product plan meet periodically maintenance coordinator discus equipment need necessary modification need janitor b east lake management chicago il   perform efficiently custodian maintenance duty include sweep mop strip polish buff floor vacuum shampoo carpet spot clean clean empty trash dust clean  surface wall cabinet furniture fixtures clean sanitize restock supply need diagnose repair electrical relate problem repair windows door screen floor covering paint surface check replace build ventilation filter timely manner arrange equipment furniture variety school activity include set table chair maintain building exterior ground inclement weather ensure proper protection safety perform routine maintenance custodial equipment include landscaping machinery equipment comply safety fire electrical building code set forth federal state city school standard  business administration oliver harvey college diploma carver area high school  cashier customer service sanitation additional information  profile yardi safety train customer service train reac training sanitation license,Resume ValerieJenkins_20462
george kendrick mechanic new const antioch      mechanic new const change monroe nc change residential commercial hvac system complete new construction start ups complete new construction punch list perform routine maintenance sheet metal mechanic installer c n mechanical wilmington llc wilmington nc instal changed hvac system residential commercial construction consistently critical decision depend installation problem solve  sheet metal mechanic installer pope heat air wilmington nc successfully lead organize maintain productive functioning  environment install crew complete individual duty need provided leadership decision make   efficiently fabricate installed basic sheet metal duct board duct residential commercial hvac system sheet metal mechanic installer helper gideon heat air co surf city nc complete daily function multitasking train prioritize  load individual crew member design fabricate assemble installed commercial residential hvac system  certificate course piedmont community college smithfield nc certificate course pender county community college burgaw nc high school diploma delta vista high school byron additional information  perform operate commercial residential retrofit new construction environments assignment  basic leadership decision make  troubleshoot ability fabrication installation independently cut bend notch machine pittsburgh snaplock spot weld assemble install sheet metal duct flex duct slip drive tdc spiral double wall spiral duct hvac component installation service repair refrigerant line set gas line flue pipe condensation line zone system proficient large variety hand power tool saw alls portaband saw air hammer hammer drill hilti drill hilti gun tool relative trade successfully operate scissor lift forklift hand truck duct jack efficiently track load unload pack store material supply shop field perform basic service demand troubleshoot task schedule routine maintenance hvac system include furnace heat pump straight c,Resume GeorgeKendrick_45670
overnight stock hillsboro   overnight stock walmart  present  cashier marcola community market     mohawk high school marcola  heavy lift year stock shelf year cash handle year customer service year organizational  year cash register year,Resume OvernightStocking_33309
author national literacy consultant fort lauderdale fl mission catch fall reader provide professional development training elementary school teacher parent shop country author catch fall reader catch fall writer teachable minute      author richard owen publisher katonah ny present national literacy consultant corwin press thousand oak present catch fall teacher corwin press present catch fall writer corwin press catch fall teacher xlibris associate professor nova southeastern university fort lauderdale fl present international literacy consultant presenter present state canada belize norway greece national literacy consultant nat l radio tv appearance national literacy consultant mass appeal live national literacy consultant mom talk radio national literacy consultant kid teens news create cooperative kid cable tv guest people difference guest total tutor net radio guest author teachable minute morgan jam senior national consultant sde staff development educator nh catch fall writer corwin press catch fall teacher xlibris author consultant publish book corwin sage read program consultant national speaker macmillan new york ny mcgraw hill nyc national literacy consultant national speaker harcourt school publisher fl national faculty instructor lesley university cambridge national literacy consultant harcourt school publisher fl consultant hanson initiative language literacy mass general hospital boston adjunct faculty instructor lesley university cambridge read director k west springfield public school instructor west springfield public school framingham national literacy presenter international reading association orlando fl reading language art specialist k wildwood elementary amherst instructor read continue ed westfield reading recovery teacher blueberry hill elementary school teacher longmeadow public school longmeadow music teacher blueberry hill elementary school longmeadow gift talented teacher somers public school somers ct teacher grade math science mosier elementary school hadley teacher grade k heritage academy longmeadow teacher grade clarksville elementary school bethlehem public school delmar ny teacher grade grade newport news va teacher grade grade hingham presentation  plus training state national association elementary school principal maryland national reading recovery conference columbus oh th international literacy association conference crete greece naesp elementary principal conference nashville tn secondary reading council conference tampa fl rrcna read recovery conference columbus oh winnipeg read council winnipeg canada national ascd conference chicago il national ira conference san antonio national ira conference chicago il national ira conference orlando fl ksra conference hershey pa national ira conference chicago il naesp national association elementary principal houston ira midwest regional conference michigan national reading recovery conference columbus oh massachusetts state reading conference sturbridge somirac read conference maryland connecticut state reading conference cromwell ct west virginia state reading conference sulphur spring wv iowa state reading conference de moine iowa wisconsin state reading conference wi doe read conference international reading association san antonio international reading association reno nevada wisconsin state reading association conference w michigan state reading association conference mi national association elementary principal anaheim massachusetts reading association sturbridge northeast reading recovery conference providence ri european reading conference stavanger norway national reading recovery conference columbus oh honorary member scrumptious mom national tele summit ira alpha upsilon alpha member rotary international volunteer trainer teacher better belize  doctor  al leadership nova southeastern university fort lauderdale fl lesley university cambridge master arts  reading college william mary williamsburg va b elementary  framingham state college framingham longmeadow high school longmeadow link http www conniehebert com,Resume Author_35754
valerie grime st louis mo      motivational pastor online writer pastor valerie ann grime th st louis mo  present year  key client operate confidentiality clause online writing find google com pastor val val anoint minister val val anoint  ed elementary  university missouri st louis st louis mo th theology christian  biblical study grace bible college seminary morrisville nc diploma penn foster career school b liberal study university missouri st louis st louis mo  science accounting dean st louis community college  public speaker proofreader soloist motivational speaker government team year account year elementary educator year pastor year additional information  close tag close tag smart way categorize document tag similar document common assign mutiple tag particular document tag add tag calendar close feedback close wait,Resume ValerieGrimes_47110
merchandiser plymouth   merchandiser american greeting plymouth  present merchandise greeting card local store test scorer pearson   score istep test remotely home contract  volunteer coordinator southerncare hospice mishawaka   responsibility recruit manage volunteer intern community involvement childcare provider house lord care plymouth  responsibility care child age yr age assist christian academy class grade k design daily schedule curriculum administrative assistant peoplelink staff solution plymouth  prepare invoice report letter documentation word processing spreadsheet database presentation software answer phone call direct call appropriate party message greet visitor determine give access specific individual perform general office duty order supply maintain record management database system perform basic bookeeping  file retrieve document record report president board member washington park zoological society michigan city  provide leadership direction net oversight committee development team organize st art animal member night raise awareness zoo include attract new member art included art walk michigan city net  community business secure valuable donation penny racer est value plan special event secure benjamin mee guest speaker washington park zoo black tie fund raiser cost zoo create advertisement social medium press release radio announcement organize coin critter elementary class compete collect coin win class field trip zoo entire school receive zoo program raise president board  present organize board committee present animal al program hold active role community proficient computer variety software package professional communication publication responsible write edit web content social medium  curator washington park zoo michigan city   increase  department revenue year  curator additional second year net  community business secure valuable donation carpet  center write distributed press release result average radio interview news paper interview tv interview year schedule plan host al program camp overnights community outreach special event supervise instructed keeper assign area trained staff program animal guest special event assist departmental hiring schedule  assignment cross train animal area basic animal husbandry assist veterinary care load transport animal update animal record train al animal tolerate handle program train intern volunteer seasonal employee provide excellent guest service positively interact guest zookeeper washington park zoo michigan city   observe assigned animal closely objectively diet preparation cross train animal area clean animal enclosure pool service area require maintain utilize animal record perform minor maintenance task train intern volunteer seasonal employee  bachelor general study science mathematics minor biological science business administration indiana university south bend link http julcole wix com julia dare cole http www linkedin com juliadarecole,Resume Merchandiser_45116
 er huachuca city az     business management american intercontinental university hoffman estates il,Resume JobSeeker_36696
end end system engineer lead system engineer analyst constructive general dynamic information technology fort stewart ga look continue reward enjoyable career field  place closer home want share  knowledge help foster enjoyable efficient  environment employee help company continue grow advance      end end system engineer general dynamic information technology fort stewart ga  present responsible design configuration documentation test modification computer application net train environment serve technical subject matter expert sme system administrator system involve simulation training exercise overall quality control delivery system technical support provide system engineer analyst maintain enforce system net security software hardware relate include quarterly security patch update software design develop document net include local area net virtual net subnet stratagies setup configure integrate mix computer server client multiple system operate system e window windows server linux red hat enterprise provide technical support daily operation provide mentorship guidance training  leadership system technologists  understanding involved computer system compute environment sale computer tech supervisor best buy savannah ga   manage department employee organize schedule balance staff need department employee need train new employee conduct quarterly review employee accomplishment area improvement move tech supervisor  manage computer tech department geek squad employee similar management responsibility compare sale supervisor  hand employee provide service customer troubleshoot repair hardware software different type computer hand  allow expand knowledge share knowledge  accept  home tech fall  independent employee provide computer tech support customer home responsible personally maintain schedule company vehicle company pda phone large inventory contain vehicle require high quality professionalism problem solve ability self discipline organizational  require equivalent net level knowledge net information system saxophonist assistant admin chief united state marine corp parris island sc   enlist musician enlistment program united state marine corp  enter active service  serve primarily saxophonist bassist assistant drum major serve squad leader non commission officer responsible welfare training discipline marine charge drum major administrative chief unit assistant drum major responsibility include manage admin office ensure efficient proper production document need every operation help train marine policy procedure leave active duty  e sergeant honorable discharge marine corp  end contract  high school diploma letter liberty county high school hinesville ga   windows year linux year windows server year active directory year net administration year computer hardware year integration year military service service country unite state branch united state marine corp rank e   serve year active duty year inactive reserve commendation good conduct medal navy achievement medal global war terrorism medal national defense medal navy unit commendation certification security microsoft certify professional mcp additional information  year  windows operate system linux operate system active directory microsoft office sql database server system security hardware software troubleshoot low intermediate level neting time management organization focus mission accomplishment employee management training welfare task organization reference available request,Resume EndtoEndSystemsEngineer_48584
samantha cooper aircraft store technician united state air force goldsboro nc efficient transportation logistics professional versed material management inventory reconciliation highly organize detail orient talent accurate shipment track problem resolution issue excellent problem solve interpersonal  motivate logistics manager successful managing custom compliance customer service transportation logistics qualify data management effective management  accomplish supply demand plan distribution requirement plan inventory control      aircraft store technician united state air force seymour johnson afb nc  present minimized damage repair cost careful management preventative maintenance supervise performed item monetary accounting inventory stock control financial plan fund control compute requirement determine allowance research identified supply equipment requirement manage perform operation involve storage inspection identification receipt property direct materiel management activity involve develop operate implement analyze manual automate integrated logistics system manages item monetary accounting inventory control financial plan warehouse function monitor operate standard base supply system sb associate logistics system interface performs operation involve storage inspection identification receipt property performs inventory ensure timely correction discrepancy inspect evaluate inventory management activity inspect identifies property determines condition property receive develops method improve procedure store property receipt store issue ship transfer property control issue classify sensitive pilferable control item coordinate maintenance activity repairable component action obtain material required equipment modification periodic component exchange bill material support maintenance account item contain mobility readiness spare package provide materiel management expertise combat support enabler organization responsible officer proper account control specify class supply require initiate follow action materiel requirement coordinate equipment transfer deployment action accountable officer plan schedule materiel storage distribution activity manage materiel management related system hardware performs operator maintenance materiel management related system hardware  system security policy procedure prevent und change information distribute supply computer product act subject matter expert commander operation materiel management system operation monitor defense data net traffic use supply interface system ensure database integrity make necessary correction monitor supply defense data net traffic use supply interface system take corrective action maintain liaison standard system group majcoms service defense megacenters identify correct problem mission capable order technician united state air force scott afb il   responsible validate mission capable requisition process customer request priority upgrade cannibalization action provide technical assistance supply customer respond inquiry customer concern process appropriate requisitioning action interface source supply stock availability status train supply personnel require track report analyze unfavorable supply process trend brief micap status daily maintenance production meeting responsible storage issue asset warehouse assist supply point monitor process order  b transportation logistics management american military university charles town wv logistics community college air force maxwell afb al  microsoft year military service service country unite state branch air force rank sra  present certification cpr certification  forklift certify  additional information  inventory track budget management vendor management shipment consolidation plan decisive inventory control reverse logistics warehouse fulfillment detail orient strategic planner flexible troubleshoot specialist certify forklift operator,Resume SamanthaCooper_1016
quionna walker auto claim representative virginia alfa insurance company memphis tn year  insurance industry excellent communication write  expertise provide excellent customer service client background carefully efficiently investigate situation provide fair satisfactory solution reputation perform multiple task effectively efficiently minimal time constraint year  new employee trainer      auto claim representative virginia alfa insurance company brentwood tn   year  effective efficiently investigate settle party auto property damage claim minimum supervision determine liability manage diary settle minor liability bodily injury claim coordinate vehicle inspection investigate evaluate relevant fact  policy coverage negotiate convey claim settlement authority limit pay rental bill prepare detailed liability coverage denial letter reservation right complex correspondence recognize investigate coverage issue assure cost effective claim resolution recognize potential fraud material misrepresentation refer file special investigative unit manage deductible wage prepare present file subrogation arbitration establish maintain appropriate claim expense reserve provide excellent customer service internal external customer ensure good faith proper claim handle serve team leader new hire trainer auto claim representative permanent general assurance corporation nashville tn   year  thoroughly investigate settle party auto property damage claim determine liability manage diary settle party medical payment personal injury protection claim coordinate vehicle inspection investigate evaluate relevant fact  policy coverage negotiate convey claim settlement authority limit pay rental bill prepare detailed liability coverage denial letter reservation right complex correspondence recognize investigate coverage issue assure cost effective claim resolution recognize potential fraud material misrepresentation refer file special investigative unit manage deductible wage prepare present file subrogation arbitration establish maintain appropriate claim expense reserve provide excellent customer service internal external customer ensure good faith proper claim handle serve team leader new hire trainer claim representative traveler insurance co brentwood tn   year  handle party auto property damage claim investigate evaluated relevant fact  policy coverage negotiate conveyed claim settlement authority limit prepare detailed liability coverage denial letter reservation right complex correspondence recognize additional coverage issue assure cost effective claim resolution recognize possible fraud forward file special investigative unit need manage deductible wage prepare presented file subrogation arbitration establish maintained appropriate claim expense reserve provide excellent customer service internal external customer subrogation claim processor state farm insurance co murfreesboro tn   year  prepare sent subrogation demand claimant carrier uninsured negligent liable party negotiate conveyed claim settlement authority limit assist develop new  flow process claim subrogation department assist develop  life activity subrogation department serve liaison subrogation claim department serve mentor new subrogation staff assist management responsibility hospitality specialist middle tennessee medical center murfreesboro tn   year  ensure terminally ill patient family comfortable possible give situation visit provided support patient immediate family coordinate special extracurricular event patient  university memphis memphis tn  certification license pharmacy technician  ,Resume QuionnaWalker_19911
babysitter babysitter keith alishia etter redding obtain  utilize strong communication  allow interact people   babysitter keith alishia etter redding present  good communication  people person strong interpersonal  excellent organizational  good time management  attendance office student aide enterprise high school redding   answer phone filing special project deliver attendance pass  san diego mesa college   high school diploma preparation general  enterprise high school,Resume Babysitter_43172
emma byrne special  paraprofessional manassas park city school manassas va paraprofessional year   child special need      special  paraprofessional manassas park city school present teacher asst kindercare   b business administration strayer university teacher  specialization northern virginia community college diploma stonewall jackson high school school honor achievement  microsoft office year additional information completion stonewall jackson early childhood  certification knowledge infant toddler child development daily hand  stonewall jackson care year weekly hand  assistant elli elementary head start program year  age classroom assist curriculum classroom management discipline daily activity  time inclusion classroom special need child taught school math remediation,Resume EmmaByrne_47189
kenneth wager central square ny feel confident  ability miss chance learn new perfect  long term goal gain  proficient enjoy specific area   self employ handy man cny  present order stay busy career take project different proportion general rule  call hand tool use comtoise construction rich comtoise contractor assistant williamstown ny   general contractor different  include maintenance repair fast food sit restaurant scope  generally range frame side roof ect rehabs renovation include tile finish trim kitchen bath client need occasionally small  larock masonry leon larock mason tender williamstown ny  real  begin teen eager learn money year  company  learn include stone  brick block  new restoration element concrete foundation include jack repair waterproof pour finishing concrete occasionally  mr larock  ged  suny delhi delhi ny ,Resume KennethWager_1387
ron jon cape caribe resort merritt island fl      ron jon cape caribe resort brevard achievement center cape canaveral fl  volunteer  extra credit school    laundry housekeep  cna hha cna nursing program american red cross rockledge fl high school diploma merritt island fl,Resume RonJoncapecariberesort_5564
cook cook n socrum loop rd lakeland fl goal find  grow great asset company longevity strive company build career future ability summary  restaurant atmosphere outgo customer friendly food environment year  food prep cooking year cook  year  warehouse duty unload load truck assembly line production  run material pallet jack  stack d     cook n socrum loop rd lakeland fl  present food prep line cook clean store maintain safe clean environment food cook moes south west grill lakeland fl   prep line cook fix cater order different company cook louis pappa mkt cafe   town center dr lakeland lakeside fl dishwasher prep line cook cater different company damage return center ship receive warehouse lakeland fl   return center responsible repackaging damage product local store redistribute local charity food bank  study,Resume Cook_34311
christopher martinelli educator tobyhanna pa      educator pocono mountain swiftwater pa  year  year veteran middle school high school classroom instructor thousand student year varsity golf coach junior varsity baseball coach assistant varsity coach speech debate team  bachelor politics desales university coopersburg pa   microsoft office year customer service year data entry year edit year file year powerpoint powerpoint year public speak year research year teach year e commerce year additional information  computer s excellent communication  reliable detailed resourceful people orient service orient honest hard  dedicate punctual customer service expert proficient microsoft software social medium  e commerce journalism excellent write  excellent public speaker teacher,Resume ChristopherMartinelli_43849
jennifer duholm austin mn      clinic rn o clinic health system austin austin mn  present responsibility  splint cast upper lower extremity preoperative postoperative patient  supervise nursing personnel schedule surgery orthopedic surgeon phone triage patient orthopedic issue medical advice orthopedic patient phone clinic walk assist procedure injection clinic assist establish protocol engage orthopedics austin albert lea  time management assessment  cast splint application patient  assist surgical office procedure familiar orthopedic care surgical rn charge nurse o clinic health system austin austin mn   responsibility assess need patient undergo surgical procedure plan implement patient care supervise nursing personnel circulate coordinate patient care activity operate room set  prep patient procedure coordinate surgical schedule physician  assignment nurse personnel administer monitor sedation procedure  bachelor nurse minnesota state university mankato mankato mn associate nursing riverland community college austin mn additional information  involve variety task correctional clinical surgical charge orthopedic set rn current bls acls certification current minnesota license current minnesota public health nursing certificate,Resume JenniferDuholm_6869
firefighter firefighter marietta ga year  include damage controlman fork lift driver shift supervisor industry include health service wholesale trade durable good recently  damage controlman united state navy     include inventory management material management shipboard firefighting inspection life save equipment hold high school diploma degree technology general wheeler high school   firefighter united state navy newport news va   newport news va oct aug damage controlman communicate fire detail way radio maintain firefighting equipment operate wildland fire engine hoselays analyze burn condition result parachute major fire location direct fire containment suppression activity direct investigation suspect arson wildfire monitor change condition affect fire fighting effort knowledge set include firefighter fork lift driver berlin packaging camp creek ga   perform manual labor label container read interpreted  order load unloaded material move material sites moved material hand heavy equipment sort cargo inventoried material check incoming material invoice ensure clean safe  environment maintain tool equipment follow safety rule regulation knowledge set include load unloading shift supervisor yoforia vinings ga   supervise food preparation serve er collect balanced cash receipt end  shift resolve customer complaint food service train er food preparation train er safety sanitation procedure train er food service ensure quick efficient service promote friendly customer service uphold company image quality customer  ensure federal regulation cleanliness food preparation meet upheld company standard food quality service manage food inventory knowledge set include food sanitation  high school diploma technology general wheeler high school additional information  customer service image inventory management languages material management navy quality quick read safety certification professional license certificate shipboard firefighting united state navy virginia,Resume Firefighter_22306
dishwasher dishwasher braddock pa   challenge opportunity maximize customer service  fully use  success organization      dishwasher tgi fri pittsburgh pa  perform kitchen activity include pot utensil dish wash general cleaning storage food non food supply operate dishwashing equipment distribute store clean pot dish utensil crew member taco bell pittsburgh pa primary  duty include greet guest take food drink order prepare food drink maintain clean  environment answer question menu item promotion operate drive window inventory use cash register ovens microwave kitchen equipment dishwasher callos agency pittsburgh pa perform kitchen activity include pot utensil dish wash general cleaning storage food non food supply operate dishwashing equipment distribute store clean pot dish utensil  culinary art bidwell train institute pittsburgh pa additional information qualification s customer service team player communication  short order cook operate cash register prep cook,Resume Dishwasher_29652
devan gadson kissimmee fl        internship indiana state police valparaiso   proficient patrolling assign area protection life property proven ability spread public safety awareness knowhow constitutional mandate familiarity general law reinforcement procedure adept carry public service task knowledgeable sensitive public dealing procedure protocols emergency situation civic engagement polar plunge special olympics volunteer criminology club valparaiso university valparaiso  interact disabled child parent produce sense community kid world volunteer disney resort orlando fl  supply prepared food kid communicate accommodated family stay disney resort enjoyable desk clerk residence inn kissimmee fl  bachelor art art science valparaiso university valparaiso s microsoft year additional information computer s windows microsoft word excel powerpoint photoshop outlook express internet proficient,Resume DevanGadson_46207
brittany laurion valrico fl      carhop sonic drive lithia fl  year   n computer engineering ucf orlando fl high school student durant high school plant city fl  microsoft excel year serve customer service year matlab year,Resume BrittanyLaurion_47108
clyde well emergency medical technician ambulance driver ohio ambulance cincinnati oh pursue  able utilize life  interpersonal  allow grow personally professionally firmly contribute achievement mission value company      emergency medical technician ambulance driver ohio ambulance  present respond instruction emergency medical dispatcher maintain crew quarter vehicle medical communication equipment replenish equipment supply comply record information prepare field care report patient bill trip ticket daily driver unit checkout form knowledgeable emergency medical practice measure assist lift patient render aid assist removal patient vehicle scene accident assist transfer patient recover facility team lead banquet concert horseshoe casino cincinnati cincinnati oh   lead team maintain upbeat positive attitude assign duty  area maintain organize assist team buffet banquet serve guest sure guest satisfy barback stock bar cashier food runner restock banquet buffet event bartend steward dishwasher prep prepare food guest concert bartend cashier expo run drink pourer pour drink tap guest set emergency medical technician ambulance driver ohio ambulance   respond instruction emergency medical dispatcher maintain crew quarter vehicle medical communication equipment replenish equipment supply comply record information prepare field care report patient bill trip ticket daily driver unit checkout form knowledgeable emergency medical practice measure assist lift patient render aid assist removal patient vehicle scene accident assist transfer patient recover facility adecco staff agency   general warehouse assembly line package finish product shipping shrink wrap box label complete daily log clean maintained  area communicate operator shift move waste assembly line dumpster operate standard operating procedure sop  safety analysis jsas responsible quality control damage product sent accept stag finish load load finish product truck unload raw material truck move raw material warehouse storage prioritize multiple function manage  time efficiently proven ability consistently positively contribute high pace change  environment handle physical requirement accomplish daily responsibility general maintenance groundskeeper ashwood apartment   perform delivery service identify supply material equipment deliver invoice order form perform custodial service procedure guideline apartment include furnishing manual tool power machine ensure ground build maintenance equipment operational performing routine preventative maintenance cleaning tool perform complex wide general maintenance repair instal remove repair maintain landscape light remove unsightly trash debris public area regularly inspect ground drain manhole cover etc certification cpr,Resume ClydeWells_30803
rn rn pediatric home healthcare llc allen professional caring nurse year  medical surgical maternity pediatric year  direct patient care include pre post op astound communicator management patient team orient passionate help patient family      rn pediatric home healthcare llc dallas  present reference julie elli rn viva pediatrics richardson  present reference marie reed lvn vantage home health care carson   reference jummy duty lvn administer medication provider order update patient chart educate counsel patient concern disease treatment prevention clean medical instrument equipment follow abnormal find phone request provider wound care gt feed tracheotomy care catheterization help patient support personal hygiene daily living need provide comfort transportation vital sign monitor collect patient stool urine blood medical test order head nurse maintain personal health hygiene patient assist patient daily activity like bath dress groom eat walk activity ensure patient take adequate fluid nutrition recommend physician feed patient assist feed need communicate head nurse patient health change problem etc apple care companion cna midway road suite carrollton reference robin duty cna provide direct quality patient care activity daily live supervision certify nurse report change patient nurse supervisor provide hygiene safe environment patient ambulate reed patient collect sample urine stool blood etc record patient vital sign help support patient walk bath eat get bed brush teeth etc assist doctor visit medical ad lucem foundation   complete care plan patient deliver iv im subcutaneous oral medication patient accord physician prescription set feed tube catheter urine collection blood sample set monitor blood transfusion monitoring patient admit intensive care unit counsel tuberculosis infect individual anti tuberculosis therapy offer psychological support teach patient gynecology obstetrics assist gynecologist visit complete care plan patient monitor pregnancy begin end assist prenatal post natal clinic clinical examination newborn delivery room information woman breast feeding nutrition pediatrics assist pediatrician consultation complete care plan child deliver v im subcutaneous oral medication child surgery assist surgeon provide primary nursing care patient outpatient follow patient surgery monitor patient vital sign icu regain consciousness  catholic private nursing school central africa yaounde high school byemassi yaound,Resume RN_339
amanda osgood clinical social er murrieta      social er hebrew rehabilitation center newbridge charles dedham   complete biopsychosocial assessment provide acute ongoing psychotherapy resident provide psycho supportive presence relate goal care cop chronic medical diagnosis end life decision making facilitate post admission care plan family discharge planning meeting support resident cop multiple loss change functional status transition maintain right dignity self determination collaborate interdisciplinary team construct individualize care plan monitor clinical outcome facilitate dementia caregiver chronic illness support group clinical social er beth israel deaconess healthcare needham   engage patient psychotherapeutic intervention maximize health care goal screen triaged patient conduct biopsychosocial assessment collaboration interdisciplinary team facilitate continuity care plan maximize clinical outcome increase appropriate efficient use healthcare resource collaborate team physician nurse practitioner practice manager outpatient primary care practice patient  mental health resource substance abuse treatment end life care director social service resident program jack satter house revere   establish facilitate psychoal evidence base program engage low income elder complete biopsychosocial assessment include ongoing individualized case management supportive service chronic acute mental health condition functional limitation advocate client access necessary appropriate resource include teach client navigation community resource net medicaid medicare benefit low income subsidy program collaboratively write fund proposal obtain k grant clinical social er season hospice palliative care newton   provide psychosocial support patient family facilitate conversation end life care decision make life review closure  collaboratively interdisciplinary team facilitate understand socioeconomic spiritual emotional factor related patient health status result establish plan care foster patient personal worth spiritual human dignity facilitate grief psychoal support group caregiver patient family member  clinical resource social er emergent patient family psychosocial need co facilitate bereavement support group   amanda osgood  master social  clinical social  boston college school social  chestnut hill b social science specialization sociology minor social  san diego state university san diego,Resume AmandaOsgood_25713
